signalname,is_mean,pp_mean,pp_n,Year,Stock Weight,Predictability in OP,decay,vw
AM,0.6229211249515869,0.4681645056669595,384,1992,EW,1_clear,0.24843694183056486,0.0
AOP,0.35601826581640983,0.0010844517083971948,312,1998,EW,2_likely,0.9969539436244643,0.0
AbnormalAccruals,0.5331654459476943,-0.12792889754196307,276,2001,EW,1_clear,1.2399422140243377,0.0
Accruals,0.6864724185765431,0.09953759198926482,336,1996,EW,1_clear,0.8550013237302903,0.0
AccrualsBM,1.4453724700725552,0.8965328529637516,240,2004,EW,1_clear,0.3797219252980879,0.0
Activism1,0.2402973011435394,0.1498519794789564,14,2005,VW,1_clear,0.37638925295526443,1.0
Activism2,0.4383249726952884,0.16078676931185512,14,2005,VW,2_likely,0.6331790809837574,1.0
AdExp,0.6469165823662144,0.3181104233841904,276,2001,EW,2_likely,0.5082667038451172,0.0
AgeIPO,1.6107858657134897,0.7624571627173603,396,1991,EW,2_likely,0.5266551694134505,0.0
AnalystRevision,0.9612854729837959,0.5348684330241866,480,1984,EW,1_clear,0.4435904337928107,0.0
AnalystValue,0.21135496199705517,0.3870490310066111,312,1998,EW,2_likely,-0.8312748721366848,0.0
AnnouncementReturn,1.1476451663392677,0.7998486989941243,336,1996,EW,1_clear,0.30305226523502615,0.0
AssetGrowth,1.4946683643990843,0.6665266413115017,192,2008,EW,1_clear,0.5540638597917527,0.0
BM,1.1743970284630216,0.6117616944075415,528,1980,EW,1_clear,0.479084432623116,0.0
BMdec,0.9691142196610789,0.617564125665052,384,1992,EW,1_clear,0.36275403545205626,0.0
BPEBM,0.22106631004831703,-0.032297242165245356,204,2007,EW,1_clear,1.146097531361456,0.0
Beta,0.6789863431325771,0.26265778163898956,612,1973,EW,2_likely,0.6131619077532703,0.0
BetaLiquidityPS,0.37018126041975513,-0.006675714350313062,252,2003,VW,1_clear,1.0180336366642204,1.0
BetaTailRisk,0.45652071654807447,0.27505540869466777,120,2014,EW,1_clear,0.39749632661916073,0.0
BidAskSpread,0.7102592008232415,0.0050656053784653215,456,1986,EW,2_likely,0.9928679482467894,0.0
BookLeverage,0.26886825967083333,-0.028544556880941555,384,1992,EW,1_clear,1.1061655879942383,0.0
BrandInvest,0.5757106718677907,-0.42996135677780817,120,2014,EW,2_likely,1.7468358288076808,0.0
CBOperProf,0.4815079188202243,0.5679045131635518,96,2016,VW,1_clear,-0.17942922840192072,1.0
CF,0.8275561872491719,0.3850356806983065,360,1994,EW,1_clear,0.5347316754670403,0.0
CPVolSpread,0.9769581411100443,0.46289770915964407,157,2009,VW,1_clear,0.5261847056889377,1.0
Cash,0.7153460915989154,-0.12558129075447577,144,2012,EW,1_clear,1.175553193383333,0.0
CashProd,0.5200294720230376,0.2025033662409335,180,2009,EW,1_clear,0.6105925199717094,0.0
ChAssetTurnover,0.2908748614399139,0.04546226529441378,192,2008,EW,1_clear,0.8437050727953508,0.0
ChEQ,0.5624440041578984,0.4058739493126214,168,2010,EW,1_clear,0.278374475837282,0.0
ChForecastAccrual,0.3705687344260628,0.10201003912306725,240,2004,EW,1_clear,0.72472032946584,0.0
ChInv,0.7903739373762794,0.25000421999325817,264,2002,EW,1_clear,0.6836886843420334,0.0
ChInvIA,0.5016842759737974,0.17880137563571052,312,1998,EW,1_clear,0.6435978080264784,0.0
ChNAnalyst,0.5683466100970784,0.10962672072379638,192,2008,VW,1_clear,0.8071129152946453,1.0
ChNNCOA,0.3554672226521279,-0.08816808406649157,192,2008,EW,1_clear,1.2480343571727168,0.0
ChNWC,0.15318585875503077,0.0723760857217517,192,2008,EW,1_clear,0.5275276300961116,0.0
ChTax,1.0547898262472477,0.4255135064152096,156,2011,EW,1_clear,0.5965892959651402,0.0
ChangeInRecommendation,1.0485869264973169,0.25575891704485304,240,2004,EW,1_clear,0.7560918312235819,0.0
CitationsRD,0.206374627340535,0.06193654272210553,132,2013,VW,1_clear,0.6998829578991551,1.0
CompEquIss,0.23546497593807025,0.342795347978841,216,2006,EW,1_clear,-0.4558230862707995,0.0
CompositeDebtIssuance,0.31559427318713346,0.22134147259297987,192,2008,EW,1_clear,0.2986518089897843,0.0
ConsRecomm,0.5164989966932828,0.10946106275121707,276,2001,VW,2_likely,0.7880711028443308,1.0
ConvDebt,0.38190667419086083,0.2978915773937159,96,2016,EW,1_clear,0.21998855342118928,0.0
CoskewACX,0.2975683652719586,0.2825253799314751,216,2006,EW,1_clear,0.05055303955692737,0.0
Coskewness,0.2858351161888769,0.26791392585343615,288,2000,VW,2_likely,0.06269765091983527,1.0
CredRatDG,0.4845504030594755,0.25100648017134186,276,2001,EW,1_clear,0.48198065962493397,0.0
CustomerMomentum,1.092214803174748,0.39362188375510293,192,2008,VW,1_clear,0.6396112901867292,1.0
DebtIssuance,0.1711744165934788,0.08756262545394201,300,1999,EW,2_likely,0.4884596238356458,0.0
DelBreadth,0.6832617355122175,0.2988572076359689,264,2002,EW,1_clear,0.5626021594610064,0.0
DelCOA,0.5411303988206518,0.1448100918089615,228,2005,EW,1_clear,0.7323933526474156,0.0
DelCOL,0.35489526802498,0.09909331005550318,228,2005,EW,1_clear,0.7207815404049616,0.0
DelDRC,0.7038415422958584,0.23157636225194153,132,2013,EW,2_likely,0.6709822476568186,0.0
DelEqu,0.46633714953061006,0.29238687194957325,228,2005,EW,1_clear,0.37301398302950095,0.0
DelFINL,0.7176076772037651,0.19309085756823235,228,2005,EW,1_clear,0.7309242031514609,0.0
DelLTI,0.1607695256599945,0.12498040010185157,228,2005,EW,1_clear,0.22261137744370796,0.0
DelNetFin,0.545275066928875,0.024900394348770345,228,2005,EW,1_clear,0.9543342509881929,0.0
DivInit,0.5828336353206502,0.2638405079838462,348,1995,EW,1_clear,0.5473142042691267,0.0
DivOmit,0.4834989705038736,0.8525561425240498,347,1995,EW,1_clear,-0.7633049800200545,0.0
DivSeason,0.3244241246637417,0.09087123848341869,132,2013,EW,1_clear,0.7198998731133059,0.0
DivYieldST,0.5732933874083508,0.631186132133053,540,1979,EW,1_clear,-0.10098275332707753,0.0
DolVol,0.7596280533851185,0.3879428182350795,312,1998,EW,1_clear,0.4892989845407946,0.0
DownRecomm,0.599286711819787,0.18526984729797294,276,2001,EW,2_likely,0.690849398720381,0.0
EBM,0.30053763603815226,0.21421941198297456,204,2007,EW,1_clear,0.2872126938677986,0.0
EP,0.36672896719072634,0.203441478503393,564,1977,EW,1_clear,0.4452538612866425,0.0
EarnSupBig,0.3991017579340758,0.4757742981535091,204,2007,EW,1_clear,-0.19211275995456312,0.0
EarningsConsistency,0.20664233388892791,0.3616568259272051,180,2009,EW,1_clear,-0.7501584458564955,0.0
EarningsForecastDisparity,0.6557531977076103,0.15290888706760972,156,2011,EW,1_clear,0.7668194564629643,0.0
EarningsStreak,1.0930536751606499,0.6818815623458893,144,2012,EW,1_clear,0.37616827257300905,0.0
EarningsSurprise,1.1304228101146432,0.40025420258557626,480,1984,EW,1_clear,0.6459252246113258,0.0
EntMult,0.8599385999229121,0.28140018311189646,156,2011,EW,1_clear,0.6727671218187878,0.0
EquityDuration,0.598883767672466,0.0075093086040521045,240,2004,VW,1_clear,0.9874611585596372,1.0
ExchSwitch,0.44659444574011015,0.7736962780864872,348,1995,EW,1_clear,-0.7324359616794915,0.0
ExclExp,0.2521456909794096,0.05089583847653441,252,2003,EW,1_clear,0.7981490848451953,0.0
FEPS,1.4786249733904058,0.6445276782960143,216,2006,EW,1_clear,0.5641033460850132,0.0
FR,0.29796253736246475,-0.444335098843644,216,2006,EW,2_likely,2.4912448483519265,0.0
FirmAgeMom,2.2276189440080327,0.8432898810591131,216,2006,EW,1_clear,0.6214388985479591,0.0
ForecastDispersion,0.7150248689975769,0.3313305647822104,264,2002,EW,1_clear,0.5366167260074234,0.0
Frontier,2.0801046901959825,0.48646468679952415,180,2009,EW,1_clear,0.7661345176075294,0.0
GP,0.3010693855006836,1.0241899485981474,132,2013,VW,1_clear,-2.401840233256868,1.0
Governance,0.5179682959720546,-0.5385579978690395,38,2003,VW,1_clear,2.0397508922015097,1.0
GrAdExp,0.4054591094938897,0.11041554345181082,120,2014,EW,1_clear,0.7276777340392329,0.0
GrLTNOA,0.36912810663643353,-0.04699287964587776,252,2003,EW,2_likely,1.1273077796055304,0.0
GrSaleToGrInv,0.31736648952984486,-0.026741874650273393,312,1998,EW,2_likely,1.0842618093986214,0.0
Herf,0.21272709003764206,-0.3101278323149891,216,2006,EW,1_clear,2.457867130416309,0.0
HerfAsset,0.1799741613153379,-0.3791548796239124,216,2006,EW,2_likely,3.106718413648192,0.0
HerfBE,0.22122261566544296,-0.3384157710960924,216,2006,EW,1_clear,2.5297521461724406,0.0
High52,0.4701974514645906,0.20295159074032793,240,2004,EW,2_likely,0.5683694369074824,0.0
IO_ShortInterest,2.232290931750517,5.790645223823447,228,2005,EW,2_likely,-1.5940369785413864,0.0
IdioVol3F,0.9684962910088176,0.26852365174506077,216,2006,VW,1_clear,0.7227416829182095,1.0
IdioVolAHT,0.8943252905668114,0.21982871878744978,252,2003,VW,1_clear,0.754196016699779,1.0
Illiquidity,0.3940535323330135,0.042990231625354446,264,2002,EW,1_clear,0.8909025599368984,0.0
IndIPO,0.6687946878564215,0.43617999760952686,396,1991,EW,1_clear,0.3478118090208769,0.0
IndMom,0.25690338925409634,0.31278572639083,300,1999,EW,1_clear,-0.2175227711046737,0.0
IndRetBig,2.327518681198812,0.5904994779773508,204,2007,EW,1_clear,0.7462965677795513,0.0
IntMom,1.2409349231874691,0.6754164563153027,144,2012,VW,1_clear,0.45571968062561574,1.0
IntanBM,0.39246081921957127,0.09521593987151274,216,2006,EW,1_clear,0.7573873996878094,0.0
IntanCFP,0.39361159033131915,0.2985384596959284,216,2006,EW,1_clear,0.24154047535887793,0.0
IntanEP,0.32403518118792796,0.23172561820882642,216,2006,EW,1_clear,0.2848751257215047,0.0
IntanSP,0.5607533188618715,0.18488012860567354,216,2006,EW,1_clear,0.6703004291068415,0.0
InvGrowth,0.8608265839187778,0.44558078624198605,144,2012,EW,1_clear,0.4823803137984546,0.0
InvestPPEInv,0.7967789499525444,0.2172268001175877,192,2008,EW,1_clear,0.7273688014341675,0.0
Investment,0.25738683910460275,0.07432682249641978,240,2004,VW,1_clear,0.7112252407505065,1.0
LRreversal,0.784520058681048,0.4772139298667306,468,1985,EW,1_clear,0.39171226460540354,0.0
Leverage,0.3551290839096765,0.32316337832997927,432,1988,EW,1_clear,0.09001151138561042,0.0
MRreversal,0.39487685056369964,0.314672136842371,468,1985,EW,2_likely,0.20311323291510705,0.0
MS,1.104692012251532,0.5487053426323113,228,2005,EW,1_clear,0.5032956366598818,0.0
MaxRet,0.8861230012349923,0.19944457987192324,156,2011,VW,1_clear,0.7749244973960085,1.0
MeanRankRevGrowth,0.5428074471325005,0.024920420827150656,360,1994,EW,1_clear,0.9540897587923707,0.0
Mom12m,1.3406960070664518,0.8531742264188287,372,1993,EW,1_clear,0.36363335019872184,0.0
Mom12mOffSeason,1.352855615923714,0.8800918325834889,192,2008,EW,1_clear,0.3494562004811042,0.0
Mom6m,1.0166762570459411,1.039263360052881,372,1993,EW,1_clear,-0.022216613056912495,0.0
Mom6mJunk,2.0904243449440734,0.4533777237509893,204,2007,EW,1_clear,0.7831168944967876,0.0
MomOffSeason,1.2327521969055506,0.41561520222531456,192,2008,EW,1_clear,0.6628558413697496,0.0
MomOffSeason06YrPlus,0.6049775397366829,0.5309497336969622,192,2008,EW,1_clear,0.12236455269387585,0.0
MomOffSeason11YrPlus,0.17540003840084434,0.043224415201039736,192,2008,EW,2_likely,0.7535666719624181,0.0
MomOffSeason16YrPlus,0.34956825408201264,0.22082803185815117,192,2008,EW,1_clear,0.36828350606933996,0.0
MomRev,1.174099260804911,0.07336397225566625,216,2006,EW,1_clear,0.9375146763951021,0.0
MomSeason,0.8125412991394375,-0.06357680263619597,192,2008,EW,1_clear,1.078244395335388,0.0
MomSeason06YrPlus,0.7463792467631403,0.079715769569641,192,2008,EW,1_clear,0.8931966960290653,0.0
MomSeason11YrPlus,0.7490963309555085,0.1611407314089829,192,2008,EW,1_clear,0.784886502910193,0.0
MomSeason16YrPlus,0.5855347847426619,0.45720422243607334,192,2008,EW,1_clear,0.219168127411916,0.0
MomSeasonShort,1.3607244373766851,0.12004061941000742,192,2008,EW,1_clear,0.9117818302422558,0.0
MomVol,1.593673507127506,1.1403157450452333,288,2000,EW,1_clear,0.2844734257391409,0.0
NOA,1.0838061346863117,0.01799705389406672,240,2004,EW,1_clear,0.9833945820031036,0.0
NetDebtFinance,0.7185302878634665,0.36343320162586495,216,2006,EW,1_clear,0.49419918997913737,0.0
NetDebtPrice,0.5467213411727078,0.09617751198467792,204,2007,EW,1_clear,0.8240831210678938,0.0
NetEquityFinance,0.7116735997307342,1.0197717461498654,216,2006,EW,1_clear,-0.4329205783883257,0.0
NetPayoutYield,0.8833968202277976,1.49354706742342,204,2007,EW,1_clear,-0.6906864879118373,0.0
NumEarnIncrease,0.4997069588940965,0.310308049105735,144,2012,EW,2_likely,0.37901995643110714,0.0
OPLeverage,0.3516415398311557,-0.029287105957336256,156,2011,EW,1_clear,1.0832868209239408,0.0
OScore,0.9878486750353846,1.1061040984573869,312,1998,EW,1_clear,-0.11971005925352518,0.0
OperProf,0.7254259093311245,0.45427415373250185,216,2006,EW,2_likely,0.37378283862046896,0.0
OperProfRD,0.3231087467644222,0.9756887727587079,96,2016,VW,2_likely,-2.0196916132081077,1.0
OptionVolume1,0.752514803892527,0.09656888165439342,129,2012,EW,1_clear,0.8716717848541021,0.0
OptionVolume2,0.5741053753641188,-0.1905061535287833,129,2012,EW,2_likely,1.331831335681115,0.0
OrderBacklog,0.49631785922468136,-0.29681739229171006,252,2003,EW,1_clear,1.5980389115059868,0.0
OrderBacklogChg,0.3623828682876827,0.6592545159729051,204,2007,EW,1_clear,-0.8192209777685923,0.0
OrgCap,0.40909254739290396,0.18454776479814589,132,2013,VW,1_clear,0.5488850482018167,1.0
PS,1.0480293709852773,0.5949707941048267,288,2000,VW,1_clear,0.43229568695629156,1.0
PatentsRD,0.4556732439454061,-5.224885000648185,48,2013,VW,1_clear,12.46629754999215,1.0
PayoutYield,0.4326195010725782,0.20123207523050776,204,2007,EW,1_clear,0.5348520472803463,0.0
PctAcc,0.45479014274863616,0.11979380274932488,156,2011,EW,1_clear,0.7365954283324578,0.0
PctTotAcc,0.49579007185719315,0.38814211127382864,156,2011,EW,1_clear,0.21712407467161085,0.0
PredictedFE,0.41227634268849384,-0.03658000915435493,312,1998,EW,2_likely,1.0887269177654317,0.0
Price,1.430288612861401,0.3285472199342003,612,1973,EW,1_clear,0.7702930604495853,0.0
PriceDelayRsq,0.4916899442867479,-0.2528296676408409,224,2005,EW,1_clear,1.5142054877847848,0.0
PriceDelaySlope,0.1609241048209786,-0.11071797000395213,224,2005,EW,2_likely,1.688013583341795,0.0
PriceDelayTstat,0.16230680907209602,-0.10632609356408244,224,2005,EW,2_likely,1.655093240831645,0.0
ProbInformedTrading,1.6614716542224288,0.36702285180790317,132,2002,EW,2_likely,0.7790977349055825,0.0
RD,1.0123473132883358,0.22383088884512206,276,2001,EW,1_clear,0.7788991130740812,0.0
RDAbility,0.30779944972830603,0.21259483088226414,132,2013,EW,1_clear,0.3093073068521689,0.0
RDIPO,0.9018794976383524,0.6988447543508298,216,2006,EW,1_clear,0.22512402579190036,0.0
RDS,0.4884360963662061,-0.103338828504811,156,2011,EW,1_clear,1.2115708263038212,0.0
RDcap,0.4307621132596785,-0.1925440501538113,156,2011,VW,1_clear,1.4469846447190655,1.0
REV6,1.132681550485282,0.546449301525322,336,1996,EW,1_clear,0.5175613999440503,0.0
RIO_Disp,0.6087758220955518,0.3897121745907817,228,2005,EW,1_clear,0.3598428839547219,0.0
RIO_MB,0.8829100823166649,0.08089151690279792,228,2005,EW,1_clear,0.9083807983135191,0.0
RIO_Turnover,0.6414246981249377,0.43082427761225917,228,2005,EW,1_clear,0.32833225962193535,0.0
RIO_Volatility,0.9965503331304488,0.9247045291785071,228,2005,EW,1_clear,0.07209450598070001,0.0
RIVolSpread,1.045060952109228,0.15765646838479996,157,2009,VW,1_clear,0.8491413653274437,1.0
RealizedVol,0.8485354046463082,0.05022266205110579,216,2006,VW,1_clear,0.9408125320686649,1.0
Recomm_ShortInterest,0.8173478064157346,0.4469477388492103,156,2011,EW,1_clear,0.4531731346913587,0.0
ResidualMomentum,0.9503154714338249,0.3261864293680202,156,2011,EW,1_clear,0.6567598453639043,0.0
ReturnSkew,0.40910164654499487,0.2784600917022319,108,2015,EW,1_clear,0.3193376412587829,0.0
ReturnSkew3F,0.2858722248119361,0.21315110741996315,108,2015,EW,1_clear,0.2543832911357976,0.0
RevenueSurprise,0.7313062114211061,0.37449178161991337,216,2006,EW,1_clear,0.4879138508994958,0.0
RoE,0.32123897876546714,0.3796178159442777,336,1996,EW,2_likely,-0.1817302414643531,0.0
SP,0.7111349640154038,0.8830331277187278,336,1996,EW,2_likely,-0.24172368453479745,0.0
STreversal,2.9679188578960907,1.6089490651773635,408,1990,EW,1_clear,0.4578864375295215,0.0
ShareIss1Y,0.7132510398957802,0.8547613638601078,192,2008,EW,1_clear,-0.19840184738462494,0.0
ShareIss5Y,0.5394836426140427,0.877460876245249,216,2006,EW,1_clear,-0.6264828197451058,0.0
ShareRepurchase,0.31412167378105316,0.28456864675864163,348,1995,EW,2_likely,0.09408146425136639,0.0
ShareVol,0.7368070308454938,0.054294481130510656,312,1998,EW,1_clear,0.926311125087654,0.0
ShortInterest,0.8250633249999367,0.9829098943035568,276,2001,EW,2_likely,-0.19131449007702794,0.0
Size,0.4967133669589979,0.04799398437550664,516,1981,EW,1_clear,0.9033769019156105,0.0
SmileSlope,1.821287213974395,0.8514126948882719,133,2011,EW,1_clear,0.5325214560583624,0.0
Spinoff,0.39561856352738,-0.029383692975903358,372,1993,VW,2_likely,1.0742727861754389,1.0
SurpriseRD,0.29276399961763716,-0.026660059911188246,240,2004,EW,1_clear,1.0910633136109886,0.0
Tax,0.43583769307098497,0.36591001211666246,240,2004,EW,1_clear,0.16044431692357863,0.0
TotalAccruals,0.28281164574399126,0.016780883367633493,228,2005,EW,1_clear,0.9406641005765936,0.0
TrendFactor,1.7301283276672101,0.18124611974099025,96,2016,EW,1_clear,0.8952412275768177,0.0
UpRecomm,0.6520710993403098,0.1838158930501851,276,2001,EW,2_likely,0.7181045238224041,0.0
VolMkt,0.4377597985046694,0.36842281556398637,336,1996,EW,2_likely,0.15839047618700747,0.0
VolSD,0.38413742640598925,0.008500878461105688,276,2001,EW,1_clear,0.9778702155094847,0.0
VolumeTrend,0.5347039783151969,0.6850827826747462,336,1996,EW,2_likely,-0.28123748926158937,0.0
XFIN,1.0960154696302178,1.2343492268428462,216,2006,EW,1_clear,-0.1262151502836913,0.0
betaVIX,1.089992422494382,0.2027858453440379,216,2006,VW,1_clear,0.8139566467077132,1.0
cfp,0.3638634765582628,0.9325587488734678,240,2004,EW,1_clear,-1.56293585081531,0.0
dCPVolSpread,1.3433018844157898,0.6838453024111171,97,2014,EW,1_clear,0.4909220999801355,0.0
dNoa,1.0528583264111206,0.2008261778755007,240,2004,EW,1_clear,0.8092562191533811,0.0
dVolCall,0.875190177324769,0.5942878829652455,97,2014,EW,1_clear,0.3209614340258817,0.0
dVolPut,0.3846302012647519,0.22742561229081426,97,2014,EW,2_likely,0.40871618624073996,0.0
fgr5yrLag,0.8460562425196883,-0.0005117376416024051,336,1996,EW,1_clear,1.0006048506185339,0.0
grcapx,0.5241457086548569,0.18856432925549266,216,2006,EW,1_clear,0.6402444470271151,0.0
grcapx3y,0.5934627243991407,0.05482959416750662,216,2006,EW,1_clear,0.9076107194044586,0.0
hire,0.5078709811520896,0.1918695480781045,120,2014,EW,1_clear,0.6222080898521621,0.0
iomom_cust,0.4222731394386097,0.049067233523726404,168,2010,EW,2_likely,0.883802143823406,0.0
iomom_supp,0.6632542741681782,0.05348360290443925,168,2010,EW,2_likely,0.9193618420755512,0.0
realestate,0.3014658581869073,0.1350008617522643,168,2010,VW,2_likely,0.5521852372796243,1.0
retConglomerate,1.3655144661247602,0.302587953882855,144,2012,EW,1_clear,0.7784073611892377,0.0
roaq,1.587183304321806,1.2912829355289293,168,2010,EW,1_clear,0.1864311248657654,0.0
sfe,0.8319624710710086,0.7396532905432246,276,2001,EW,1_clear,0.11095353905681807,0.0
sinAlgo,0.2626242438427024,-0.07649074343294102,180,2009,EW,2_likely,1.2912554542327583,0.0
skew1,0.638163920782595,0.1812876519618288,145,2010,EW,2_likely,0.7159230629341884,0.0
std_turn,0.7705752904651217,-0.03432255736567836,276,2001,EW,1_clear,1.0445414715348076,0.0
tang,0.7077912611796457,-0.10251582666558486,180,2009,EW,1_clear,1.144839068081635,0.0
zerotrade12M,0.6302654433261234,0.1817430471422041,216,2006,EW,1_clear,0.7116404697946238,0.0
zerotrade1M,0.6309574388216717,0.2554212445252668,216,2006,EW,1_clear,0.5951846688704199,0.0
zerotrade6M,0.6254915067905752,0.2629122314043557,216,2006,EW,1_clear,0.5796709810603663,0.0
