signalname,is_mean_ew,pp_mean_ew,is_n_ew,pp_n_ew,is_mean_vw,pp_mean_vw,is_n_vw,pp_n_vw,Acronym,Predictability in OP,Year,decay_ew,decay_vw,decay_diff_vw_minus_ew,levels_did
AM,0.6414434572736049,0.6629001407527397,336.0,384.0,0.13371838996945046,-0.0036292586434744346,336.0,384.0,AM,1_clear,1992,-0.03345062333371439,1.0271410584909344,1.0605916818246488,-0.15880433209205977
AOP,0.4641156036711808,0.009209512525099292,210.0,312.0,0.11080627927043084,-0.043306000257199426,210.0,312.0,AOP,2_likely,1998,0.9801568564981408,1.3908262288232598,0.410669372325119,0.3007938116184513
AbnormalAccruals,0.5331654459476943,-0.12792889754196307,246.0,276.0,0.5712057118738966,0.07653172678741683,246.0,276.0,AbnormalAccruals,1_clear,2001,1.2399422140243377,0.8660172242739889,-0.3739249897503488,0.1664203584031777
Accruals,0.6864724185765431,0.09953759198926482,360.0,336.0,0.5411029180615331,0.10438523364948199,360.0,336.0,Accruals,1_clear,1996,0.8550013237302903,0.8070880230632733,-0.047913300667016934,0.15021714217522714
Activism1,0.3692442855294586,0.028630170365475376,135.0,14.0,0.3692442855294586,0.028630170365475376,135.0,14.0,Activism1,1_clear,2005,0.9224627936369478,0.9224627936369478,0.0,0.0
Activism2,0.7079593848573194,0.40000415764054376,135.0,14.0,0.7079593848573194,0.40000415764054376,135.0,14.0,Activism2,2_likely,2005,0.434989963836471,0.434989963836471,0.0,0.0
AdExp,0.9273729606788875,0.33819456101385753,264.0,276.0,0.7165259858623887,0.14389762602221348,264.0,276.0,AdExp,2_likely,2001,0.6353197954291435,0.7991731927921321,0.16385339736298854,0.0165500398248547
AgeIPO,2.2421292616279196,0.9025235457361058,84.0,396.0,0.8357748829787003,0.9930353662448428,84.0,396.0,AgeIPO,2_likely,1991,0.5974703326957965,-0.18816129375133459,-0.7856316264471311,1.4968661991579562
AnalystRevision,1.2787047410564656,0.5749652669238074,58.0,480.0,0.6130454236173255,0.38360340326908854,58.0,480.0,AnalystRevision,1_clear,1984,0.5503533783344142,0.3742659377414405,-0.1760874405929737,0.4742974537844212
AnnouncementReturn,1.496554511730016,1.0319464957643834,192.0,336.0,1.4087979038699519,0.9876847465039023,192.0,336.0,AnnouncementReturn,1_clear,1996,0.31045178262738066,0.2989166552628,-0.011535127364580677,0.04349485859958313
AssetGrowth,1.4946683643990843,0.6665266413115017,432.0,192.0,0.8617541694820156,-0.03883320963565072,432.0,192.0,AssetGrowth,1_clear,2008,0.5540638597917527,1.0450629785278471,0.4909991187360945,-0.07244565603008368
BM,1.1743970284630216,0.6117616944075415,180.0,528.0,0.6223189154281329,0.4874372063931612,180.0,528.0,BM,1_clear,1980,0.479084432623116,0.21674049380642396,-0.26234393881669205,0.42775362502050845
BMdec,1.165663468402102,0.6371121872597766,336.0,384.0,0.6213346145353388,-0.14965192618899478,336.0,384.0,BMdec,1_clear,1992,0.45343385588540963,1.2408556077322541,0.7874217518468445,-0.24243525958200807
BPEBM,0.17047230455926762,0.03927735508475332,468.0,204.0,0.15620337416581062,0.13119648133011977,468.0,204.0,BPEBM,1_clear,2007,0.7695968551237724,0.1600918864220303,-0.6095049687017421,0.10618805663882344
Beta,0.6729265851924022,0.35081881261619025,480.0,612.0,0.47385774818048143,0.19296163001200217,480.0,612.0,Beta,2_likely,1973,0.4786670339144282,0.5927857447663648,0.11411871085193659,0.04121165440773272
BetaLiquidityPS,0.37018126041975513,-0.006675714350313062,384.0,252.0,0.37018126041975513,-0.006675714350313062,384.0,252.0,BetaLiquidityPS,1_clear,2003,1.0180336366642204,1.0180336366642204,0.0,0.0
BetaTailRisk,0.5879409676071201,0.2637826369033159,576.0,120.0,0.5995461817674077,1.3737171302401008,576.0,120.0,BetaTailRisk,1_clear,2014,0.5513450304766253,-1.2912615775327054,-1.8426066080093308,1.0983292791764974
BidAskSpread,0.8406482441772486,0.10424113583468775,240.0,456.0,0.20712696170213146,-0.9146533199541274,240.0,456.0,BidAskSpread,2_likely,1986,0.8759991036004486,5.415906613208024,4.539907509607575,-0.3853731733136979
BrandInvest,0.3809043635331285,-0.4562835572983561,432.0,120.0,0.2187971282717013,-0.6866463262860462,432.0,120.0,BrandInvest,2_likely,2014,2.197895327493857,4.138278512656582,1.940383185162725,-0.06825553372626281
CBOperProf,0.4815079188202243,0.5679045131635518,624.0,96.0,0.4815079188202243,0.5679045131635518,624.0,96.0,CBOperProf,1_clear,2016,-0.17942922840192072,-0.17942922840192072,0.0,0.0
CF,0.8275561872491719,0.3850356806983065,276.0,360.0,0.7335520794323629,0.2988710379058589,276.0,360.0,CF,1_clear,1994,0.5347316754670403,0.5925701169886517,0.05783844152161144,0.007839465024361392
CPVolSpread,1.604089484186925,0.8852126191319172,107.0,157.0,1.604089484186925,0.8852126191319172,107.0,157.0,CPVolSpread,1_clear,2009,0.44815259506509986,0.44815259506509986,0.0,0.0
Cash,0.7153460915989154,-0.12558129075447577,456.0,144.0,0.3690455229049823,0.6615198863106163,456.0,144.0,Cash,1_clear,2012,1.175553193383333,-0.7925156796467545,-1.9680688730300875,1.133401745759025
ChAssetTurnover,0.26326140495468014,0.05228420196543504,228.0,192.0,0.27979557987346604,-0.23187284723778415,228.0,192.0,ChAssetTurnover,1_clear,2008,0.801398150350084,1.8287223384395337,1.0273241880894497,-0.30069122412200505
ChEQ,0.7308841782746559,0.4858225202098847,528.0,168.0,0.5399180899456281,0.1287835859636019,528.0,168.0,ChEQ,1_clear,2010,0.3352947913625249,0.7614756972181264,0.4261809058556015,-0.16607284591725496
ChInv,0.7903739373762794,0.25000421999325817,336.0,264.0,0.45922807443982155,0.27662899458552276,336.0,264.0,ChInv,1_clear,2002,0.6836886843420334,0.39762177013467204,-0.2860669142073614,0.3577706375287224
ChInvIA,0.6929739358933559,0.36815537780537483,180.0,312.0,0.3094600343402598,0.32213406619550594,180.0,312.0,ChInvIA,1_clear,1998,0.4687312772726974,-0.04095531069873365,-0.5096865879714311,0.3374925899432272
ChNNCOA,0.5231039224306329,-0.045955093837496686,228.0,192.0,0.1048237358593576,-0.24755355608408183,228.0,192.0,ChNNCOA,1_clear,2008,1.0878507919114113,3.3616173765856368,2.2737665846742257,0.21668172432469007
ChNWC,0.22230298093607923,0.05243487778013281,228.0,192.0,0.4356184091010233,0.17736014307620016,228.0,192.0,ChNWC,1_clear,2008,0.7641287689470531,0.5928543436853034,-0.17127442526174963,-0.08839016286887674
ChTax,1.0547898262472477,0.4255135064152096,360.0,156.0,0.3678663287566292,-0.025874717721545145,360.0,156.0,ChTax,1_clear,2011,0.5965892959651402,1.0703372820475319,0.47374798608239166,0.23553527335386376
CompEquIss,0.3293895593257236,0.5047781789092146,432.0,216.0,0.3589184634044076,0.7845880362269495,432.0,216.0,CompEquIss,1_clear,2006,-0.5324656310980834,-1.1859784776324622,-0.6535128465343788,0.2502809532390509
CoskewACX,0.3598430368892006,0.508395343396355,468.0,216.0,0.12884711226277512,0.19365945490957484,468.0,216.0,CoskewACX,1_clear,2006,-0.4128252912474589,-0.5030174251373151,-0.09019213388985614,-0.08373996386035462
Coskewness,0.40606693692198015,0.41753627373816615,360.0,288.0,0.40606693692198015,0.41753627373816615,360.0,288.0,Coskewness,2_likely,2000,-0.028244941346676718,-0.028244941346676718,0.0,0.0
CustomerMomentum,0.8941233554239989,0.464369908561374,300.0,192.0,0.8941233554239989,0.464369908561374,300.0,192.0,CustomerMomentum,1_clear,2008,0.4806422338211187,0.4806422338211187,0.0,0.0
DelBreadth,0.6832617355122175,0.2988572076359689,222.0,264.0,0.13289592947955298,0.10667252886092489,222.0,264.0,DelBreadth,1_clear,2002,0.5626021594610064,0.19732282787986183,-0.3652793315811446,0.35818112725762047
DelCOA,0.7985178088393502,0.2735318020725716,480.0,228.0,0.5091657441466336,-0.2648536991282523,480.0,228.0,DelCOA,1_clear,2005,0.6574505927799513,1.520171873644307,0.8627212808643557,-0.24903343650810728
DelDRC,0.7542165123575437,0.30993930733537006,72.0,132.0,0.39966854726080386,0.3201118025872378,72.0,132.0,DelDRC,2_likely,2013,0.589057913401344,0.19905680649333474,-0.3900011069080092,0.3647204603486076
DelEqu,0.6954908724062248,0.4476413774721582,468.0,228.0,0.5614971979305889,0.18122914222068795,468.0,228.0,DelEqu,1_clear,2005,0.3563662799435012,0.6772394539302917,0.32087317398679055,-0.13241856077583442
DelFINL,0.851897847078952,0.20968604264836113,480.0,228.0,0.33090504418470984,-0.16882012903976437,480.0,228.0,DelFINL,1_clear,2005,0.7538601096747133,1.5101769586369003,0.756316848962187,0.1424866312061167
DelLTI,0.258233466855863,0.20387578875890175,480.0,228.0,0.11563895962894741,0.3029464684293465,480.0,228.0,DelLTI,1_clear,2005,0.21049819281286977,-1.6197612759697575,-1.8302594687826272,0.24166518689736038
DelNetFin,0.6259490160140536,-0.09689201097665183,480.0,228.0,0.39746971716727514,0.023433975605167325,480.0,228.0,DelNetFin,1_clear,2005,1.1547921771546907,0.9410421106488847,-0.21375006650580608,0.34880528542859757
DolVol,1.0326937843472115,0.5300104978374647,360.0,312.0,0.20104320827642208,-0.09042402693415062,360.0,312.0,DolVol,1_clear,1998,0.48676896687966803,1.4497740943818562,0.9630051275021883,0.2112160512991741
EBM,0.30053763603815226,0.21421941198297456,468.0,204.0,0.3056120635674824,0.07177112209826983,468.0,204.0,EBM,1_clear,2007,0.2872126938677986,0.7651561222405018,0.4779434283727032,-0.14752271741403486
EP,0.3609978636862023,0.20904403867704618,180.0,564.0,0.19061411635272035,0.2582382357946424,180.0,564.0,EP,1_clear,1977,0.42092721396612504,-0.3547697344554877,-0.7756969484216127,0.21957794445107814
EarnSupBig,0.4207017686027799,0.5142833452411598,360.0,204.0,0.30652321438965413,0.013250255982638928,360.0,204.0,EarnSupBig,1_clear,2007,-0.22244160500960047,0.9567724225748361,1.1792140275844365,-0.38685453504539513
EarningsForecastDisparity,0.930381423367073,0.5098755801087365,288.0,156.0,0.27796856809846787,1.2381622418912717,288.0,156.0,EarningsForecastDisparity,1_clear,2011,0.4519714524571177,-3.454324639513428,-3.906296091970546,1.3806995170511405
EarningsStreak,1.339737192600321,0.7710241362521294,276.0,144.0,0.7417117787612404,0.5866747346518375,276.0,144.0,EarningsStreak,1_clear,2012,0.4244959828609115,0.20902599709058936,-0.21546998577032214,0.4136760122387887
EarningsSurprise,1.1304228101146432,0.40025420258557626,96.0,480.0,0.6090198420538865,-0.06005884555318732,96.0,480.0,EarningsSurprise,1_clear,1984,0.6459252246113258,1.098615580981142,0.45269035636981614,0.0610899199219932
EntMult,0.8599385999229121,0.28140018311189646,564.0,156.0,0.5169683765548302,-0.5689450383396129,564.0,156.0,EntMult,1_clear,2011,0.6727671218187878,2.100541279006589,1.4277741571878013,-0.5073749980834272
EquityDuration,0.879665514354472,0.6476320341138213,426.0,240.0,0.879665514354472,0.6476320341138213,426.0,240.0,EquityDuration,1_clear,2004,0.26377466941048,0.26377466941048,0.0,0.0
FEPS,1.4786249733904058,0.6445276782960143,240.0,216.0,0.920311274756712,0.7785282451983088,240.0,216.0,FEPS,1_clear,2006,0.5641033460850132,0.15405986370848732,-0.4100434823765259,0.6923142655359882
FR,0.29796253736246475,-0.444335098843644,258.0,216.0,0.17645197880027122,-0.30999061252202115,258.0,216.0,FR,2_likely,2006,2.4912448483519265,2.756798731471889,0.26555388311996264,0.2558550448838164
FirmAgeMom,2.983230027052638,1.124509043166392,228.0,216.0,3.089467133298558,1.6425487686355922,228.0,216.0,FirmAgeMom,1_clear,2006,0.6230565417453308,0.4683391349491788,-0.15471740679615198,0.41180261922328043
ForecastDispersion,0.9935865230172519,0.26876603193719034,299.0,264.0,0.4781321988467565,0.25960307563400936,299.0,264.0,ForecastDispersion,1_clear,2002,0.7294991168750748,0.45704749385177196,-0.2724516230233029,0.5062913678673144
Frontier,2.0801046901959825,0.48646468679952415,288.0,180.0,0.33197685801002735,-0.2542966256689413,288.0,180.0,Frontier,1_clear,2009,0.7661345176075294,1.7660070861362882,0.9998725685287588,1.0073665197174897
GP,0.524210847123344,0.7596679136598529,576.0,132.0,0.524210847123344,0.7596679136598529,576.0,132.0,GP,1_clear,2013,-0.4491648118855257,-0.4491648118855257,0.0,0.0
GrAdExp,0.4054591094938897,0.11041554345181082,444.0,120.0,0.42882302197937766,-0.0058337840961703025,444.0,120.0,GrAdExp,1_clear,2014,0.7276777340392329,1.013604176541741,0.2859264425025081,-0.1396132400334691
GrLTNOA,0.36912810663643353,-0.04699287964587776,360.0,252.0,0.19448307406995305,-0.17928021626423188,360.0,252.0,GrLTNOA,2_likely,2003,1.1273077796055304,1.921829404032081,0.7945216244265505,0.042357695948126384
GrSaleToGrInv,0.22222757724032344,-0.023672690066411935,180.0,312.0,0.3578622252552054,0.05322939895940562,180.0,312.0,GrSaleToGrInv,2_likely,1998,1.1065245383151145,0.8512572850586685,-0.25526725325644606,-0.05873255898906443
Herf,0.14112514712269797,-0.46631982548989215,468.0,216.0,0.16515774492935106,-0.024920278275873856,468.0,216.0,Herf,1_clear,2006,4.304300013125664,1.1508877363670347,-3.153412276758629,0.4173669494073652
HerfAsset,0.2027637303642991,-0.33145423213133446,468.0,216.0,0.12363380957107685,0.010880757616363677,468.0,216.0,HerfAsset,2_likely,2006,2.6346820584520776,0.9119920541629162,-1.7226900042891615,0.4214649105409204
HerfBE,0.2710390098885401,-0.3870138688665042,468.0,216.0,0.20816277180052667,-0.05539284338535424,468.0,216.0,HerfBE,1_clear,2006,2.4278899152769804,1.2661035059546324,-1.161786409322348,0.39449726356916337
High52,0.586955917100027,0.3840981868452218,468.0,240.0,0.610711806724245,-0.24499453492913098,468.0,240.0,High52,2_likely,2004,0.34560982238166094,1.401162270373059,1.0555524479913982,-0.6528486113985706
IO_ShortInterest,3.9382850778456517,4.065939332706768,276.0,228.0,2.8088304761846468,3.6154685219705973,276.0,228.0,IO_ShortInterest,2_likely,2005,-0.0324136654248876,-0.28717932699222243,-0.2547656615673348,0.6789837909248342
IdioVol3F,1.6729834949019626,0.5197444001211269,456.0,216.0,1.6729834949019626,0.5197444001211269,456.0,216.0,IdioVol3F,1_clear,2006,0.6893308262126137,0.6893308262126137,0.0,0.0
IdioVolAHT,1.028985301905803,0.4756836106417045,264.0,252.0,1.028985301905803,0.4756836106417045,264.0,252.0,IdioVolAHT,1_clear,2003,0.5377158354344985,0.5377158354344985,0.0,0.0
Illiquidity,0.5074628356234993,0.16286833389698166,408.0,264.0,0.4312648496390111,0.0965476674131323,408.0,264.0,Illiquidity,1_clear,2002,0.6790536715917889,0.7761290596858352,0.09707538809404637,0.009877319500638804
IndMom,0.45060771176570624,0.22062580302159668,396.0,300.0,0.28329620390566934,0.05870626279373609,396.0,300.0,IndMom,1_clear,1999,0.5103816529080816,0.7927742695299799,0.2823926166218983,0.005391967632176309
IndRetBig,2.8034162602383748,0.42959476070394964,360.0,204.0,2.7760219062267493,0.14552740692078717,360.0,204.0,IndRetBig,1_clear,2007,0.8467602664659506,0.9475769962065637,0.10081672974061306,-0.2566729997715371
IntMom,1.2409349231874691,0.6754164563153027,1008.0,144.0,1.2409349231874691,0.6754164563153027,1008.0,144.0,IntMom,1_clear,2012,0.45571968062561574,0.45571968062561574,0.0,0.0
IntanBM,0.40373476503518324,0.007068652654676735,432.0,216.0,0.45848579385673854,-0.8418101618565194,432.0,216.0,IntanBM,1_clear,2006,0.982491840517968,2.836065965698289,1.8535741251803208,-0.9036298433327513
IntanCFP,0.4820669676222688,0.2896117196439648,432.0,216.0,0.448567877069792,-0.6670253593801747,432.0,216.0,IntanCFP,1_clear,2006,0.39922927913431594,2.4870109820110753,2.087781702876759,-0.9231379884716628
IntanEP,0.35347815145041284,0.3309427671778245,432.0,216.0,0.23941226961778456,-0.44239124157238857,432.0,216.0,IntanEP,1_clear,2006,0.06375325937436242,2.847821927751049,2.7840686683766864,-0.6592681269175849
InvGrowth,0.8608265839187778,0.44558078624198605,540.0,144.0,0.5970448746999073,-0.07576316309751768,540.0,144.0,InvGrowth,1_clear,2012,0.4823803137984546,1.1268969323882039,0.6445166185897493,-0.25756224012063333
InvestPPEInv,1.4187693357201043,0.62659800215568,432.0,192.0,0.7768297834403404,0.11193799424487678,432.0,192.0,InvestPPEInv,1_clear,2008,0.5583510396088124,0.855904090405574,0.29755305079676164,0.12727954436896083
Investment,0.34968257591421065,0.20656393819265312,288.0,240.0,0.34968257591421065,0.20656393819265312,288.0,240.0,Investment,1_clear,2004,0.40928158158120387,0.40928158158120387,0.0,0.0
